graph_size: (,)
field_type: Z32783
number_of_graphs: 66
1; (0,1), (0,2), (0,3), (0,4), (0,5), (0,6), (0,7), (1,3), (1,7), (2,4), (2,7), (3,5), (4,6), (5,6)
9013; (0,1), (0,2), (0,3), (0,4), (0,5), (1,2), (1,3), (1,6), (1,7), (2,4), (3,5), (4,6), (5,7), (6,7)
19413; (0,1), (0,2), (0,3), (0,4), (0,5), (1,3), (1,5), (1,6), (2,5), (2,6), (3,7), (4,6), (4,7), (6,7)
8009; (0,1), (0,2), (0,3), (0,4), (0,5), (1,3), (1,6), (1,7), (2,4), (2,6), (3,7), (4,6), (5,6), (5,7)
7; (0,1), (0,2), (0,3), (0,4), (0,6), (0,7), (1,5), (1,6), (1,7), (2,3), (2,6), (3,4), (4,5), (5,7)
7; (0,1), (0,2), (0,3), (0,4), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,6), (3,5), (3,7), (4,5)
9455; (0,1), (0,2), (0,3), (0,4), (0,6), (1,2), (1,3), (1,4), (1,5), (2,5), (3,6), (4,7), (5,7), (6,7)
20396; (0,1), (0,2), (0,3), (0,5), (0,6), (0,7), (1,5), (1,6), (1,7), (2,3), (2,4), (3,4), (4,5), (6,7)
27902; (0,1), (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,6), (2,4), (3,5), (4,6), (5,7), (6,7)
2487; (0,1), (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,6), (2,4), (3,5), (4,7), (5,6), (6,7)
20396; (0,1), (0,2), (0,3), (0,7), (1,4), (1,5), (1,7), (2,3), (2,7), (3,7), (4,5), (4,6), (5,6), (6,7)
19150; (0,1), (0,2), (0,3), (0,7), (1,4), (1,5), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
12923; (0,1), (0,2), (0,4), (0,5), (1,3), (1,4), (1,6), (2,3), (2,6), (2,7), (3,5), (3,7), (4,5), (6,7)
10198; (0,1), (0,2), (0,4), (0,5), (1,3), (1,6), (1,7), (2,3), (2,6), (2,7), (3,4), (3,5), (4,5), (6,7)
10153; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (3,5), (4,6), (4,7), (5,6), (5,7)
7253; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,5), (3,4), (4,6), (4,7), (5,6), (5,7)
3472; (0,1), (0,2), (0,4), (0,7), (1,3), (1,5), (1,7), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6), (6,7)
24913; (0,1), (0,2), (0,4), (0,7), (1,3), (1,5), (1,7), (2,5), (2,7), (3,4), (3,7), (4,6), (5,6), (6,7)
32776; (0,1), (0,2), (0,4), (1,2), (1,3), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (5,7), (6,7)
20770; (0,1), (0,2), (0,5), (0,6), (1,3), (1,4), (1,7), (2,3), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6)
4666; (0,1), (0,2), (0,5), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,7), (3,4), (3,7), (4,6), (5,6)
13633; (0,1), (0,2), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (3,6), (3,7), (4,5), (4,6), (5,6), (6,7)
28865; (0,1), (0,2), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
17161; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,3), (2,5), (3,6), (4,5), (4,7), (5,6), (6,7)
21824; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,3), (2,5), (3,7), (4,5), (4,6), (5,6), (6,7)
32224; (0,1), (0,2), (0,5), (1,2), (1,3), (1,4), (1,7), (2,5), (2,6), (3,5), (3,6), (4,5), (4,7), (6,7)
23409; (0,1), (0,2), (0,5), (1,2), (1,3), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (4,6), (5,7), (6,7)
28426; (0,1), (0,2), (0,6), (0,7), (1,2), (1,4), (1,7), (2,3), (2,6), (3,4), (3,5), (4,5), (5,6), (5,7)
4853; (0,1), (0,2), (0,6), (0,7), (1,3), (1,5), (1,6), (2,4), (2,5), (3,4), (3,5), (4,6), (4,7), (6,7)
16236; (0,1), (0,2), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,5), (3,4), (3,5), (3,6), (4,6), (4,7)
4613; (0,1), (0,2), (0,6), (1,2), (1,3), (1,7), (2,4), (2,7), (3,4), (3,7), (4,5), (5,6), (5,7), (6,7)
28307; (0,1), (0,2), (0,6), (1,2), (1,4), (1,6), (2,3), (2,6), (3,6), (3,7), (4,5), (4,7), (5,6), (5,7)
28426; (0,1), (0,2), (0,7), (1,2), (1,4), (1,6), (2,3), (2,6), (3,6), (3,7), (4,5), (4,6), (5,6), (5,7)
8002; (0,1), (0,3), (0,4), (0,6), (1,2), (1,5), (1,6), (2,6), (2,7), (3,6), (3,7), (4,5), (4,6), (5,7)
21731; (0,1), (0,3), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,5), (4,6), (4,7), (5,6), (5,7)
8009; (0,1), (0,3), (0,4), (0,7), (1,2), (1,5), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
19926; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (2,4), (2,5), (3,6), (3,7), (4,6), (5,6)
8901; (0,1), (0,3), (0,5), (0,7), (1,2), (1,4), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
8894; (0,1), (0,3), (0,5), (0,7), (1,3), (1,4), (1,7), (2,4), (2,6), (2,7), (3,5), (4,6), (5,6), (6,7)
28120; (0,1), (0,3), (0,5), (1,3), (1,4), (1,6), (1,7), (2,3), (2,5), (2,6), (3,5), (4,5), (4,7), (6,7)
28117; (0,1), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (2,4), (2,5), (3,5), (4,5), (4,6), (4,7), (6,7)
24488; (0,1), (0,3), (0,6), (0,7), (1,2), (1,6), (1,7), (2,4), (2,5), (3,5), (3,6), (4,5), (4,6), (4,7)
9932; (0,1), (0,4), (0,5), (0,7), (1,2), (1,3), (1,7), (2,5), (2,7), (3,4), (3,6), (4,6), (5,6), (6,7)
10959; (0,1), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (2,3), (2,4), (2,5), (3,5), (4,6), (4,7), (5,7)
26361; (0,1), (0,5), (0,6), (0,7), (1,3), (1,4), (1,6), (2,3), (2,4), (2,5), (3,5), (4,6), (4,7), (5,7)
13873; (0,1), (0,6), (0,7), (1,3), (1,4), (1,5), (1,6), (2,4), (2,6), (2,7), (3,5), (3,6), (4,7), (5,7)
9769; (0,2), (0,3), (0,4), (0,5), (0,7), (1,2), (1,3), (1,6), (2,4), (2,6), (3,6), (4,7), (5,6), (5,7)
3601; (0,2), (0,3), (0,4), (0,5), (0,7), (1,2), (1,6), (1,7), (2,5), (2,6), (3,5), (3,6), (4,6), (4,7)
10149; (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,7), (2,6), (2,7), (3,4), (3,5), (4,6), (5,6)
3935; (0,2), (0,3), (0,6), (0,7), (1,2), (1,3), (1,6), (1,7), (2,5), (3,4), (4,5), (4,6), (5,7), (6,7)
28845; (0,2), (0,3), (0,6), (0,7), (1,3), (1,4), (1,6), (1,7), (2,4), (2,7), (3,5), (4,5), (5,6), (6,7)
794; (0,2), (0,3), (0,6), (0,7), (1,3), (1,4), (1,6), (1,7), (2,5), (2,7), (3,4), (4,5), (5,6), (6,7)
31261; (0,2), (0,4), (0,6), (0,7), (1,2), (1,3), (1,6), (1,7), (2,5), (3,5), (3,6), (4,5), (4,7), (6,7)
14055; (0,2), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (1,7), (2,4), (2,6), (3,5), (3,7), (4,5), (6,7)
2024; (0,2), (0,4), (0,6), (0,7), (1,3), (1,5), (1,6), (1,7), (2,5), (2,6), (3,4), (3,7), (4,5), (6,7)
