graph_size: (,)
field_type: Z32783
number_of_graphs: 66
1; (0,1), (0,2), (0,3), (0,4), (0,5), (0,6), (0,7), (1,3), (1,7), (2,4), (2,7), (3,5), (4,6), (5,6)
11494; (0,1), (0,2), (0,3), (0,4), (0,5), (1,2), (1,3), (1,6), (1,7), (2,4), (3,5), (4,6), (5,7), (6,7)
5222; (0,1), (0,2), (0,3), (0,4), (0,5), (1,3), (1,5), (1,6), (2,5), (2,6), (3,7), (4,6), (4,7), (6,7)
22040; (0,1), (0,2), (0,3), (0,4), (0,5), (1,3), (1,6), (1,7), (2,4), (2,6), (3,7), (4,6), (5,6), (5,7)
7; (0,1), (0,2), (0,3), (0,4), (0,6), (0,7), (1,5), (1,6), (1,7), (2,3), (2,6), (3,4), (4,5), (5,7)
7; (0,1), (0,2), (0,3), (0,4), (0,6), (0,7), (1,5), (1,6), (1,7), (2,4), (2,6), (3,5), (3,7), (4,5)
20898; (0,1), (0,2), (0,3), (0,4), (0,6), (1,2), (1,3), (1,4), (1,5), (2,5), (3,6), (4,7), (5,7), (6,7)
11020; (0,1), (0,2), (0,3), (0,5), (0,6), (0,7), (1,5), (1,6), (1,7), (2,3), (2,4), (3,4), (4,5), (6,7)
6562; (0,1), (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,6), (2,4), (3,5), (4,6), (5,7), (6,7)
11449; (0,1), (0,2), (0,3), (0,5), (0,7), (1,2), (1,3), (1,4), (1,6), (2,4), (3,5), (4,7), (5,6), (6,7)
11020; (0,1), (0,2), (0,3), (0,7), (1,4), (1,5), (1,7), (2,3), (2,7), (3,7), (4,5), (4,6), (5,6), (6,7)
15279; (0,1), (0,2), (0,3), (0,7), (1,4), (1,5), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (6,7)
4342; (0,1), (0,2), (0,4), (0,5), (1,3), (1,4), (1,6), (2,3), (2,6), (2,7), (3,5), (3,7), (4,5), (6,7)
5510; (0,1), (0,2), (0,4), (0,5), (1,3), (1,6), (1,7), (2,3), (2,6), (2,7), (3,4), (3,5), (4,5), (6,7)
7838; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (3,5), (4,6), (4,7), (5,6), (5,7)
22308; (0,1), (0,2), (0,4), (0,6), (1,3), (1,5), (1,7), (2,3), (2,5), (3,4), (4,6), (4,7), (5,6), (5,7)
12053; (0,1), (0,2), (0,4), (0,7), (1,3), (1,5), (1,7), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6), (6,7)
16044; (0,1), (0,2), (0,4), (0,7), (1,3), (1,5), (1,7), (2,5), (2,7), (3,4), (3,7), (4,6), (5,6), (6,7)
32776; (0,1), (0,2), (0,4), (1,2), (1,3), (1,7), (2,4), (2,7), (3,6), (3,7), (4,5), (5,6), (5,7), (6,7)
14263; (0,1), (0,2), (0,5), (0,6), (1,3), (1,4), (1,7), (2,3), (2,4), (2,7), (3,5), (3,7), (4,6), (5,6)
2159; (0,1), (0,2), (0,5), (0,6), (1,3), (1,5), (1,7), (2,3), (2,4), (2,7), (3,4), (3,7), (4,6), (5,6)
17504; (0,1), (0,2), (0,5), (0,7), (1,2), (1,4), (1,7), (2,3), (3,6), (3,7), (4,5), (4,6), (5,6), (6,7)
